"Enter your message here","Enter your message here"
"Message to administrator","Message to administrator"
"Your question has been sent to the administrator successfully","Your question has been sent to the administrator successfully"
"Something went wrong. Probably you were away for quite a long time already. Please, reload the page and try again.","Something went wrong. Probably you were away for quite a long time already. Please, reload the page and try again."
"Your name too long","Your name too long"
"Enter your name, please","Enter your name, please"
"Something went wrong, try again later, please","Something went wrong, try again later, please"
"Send","Send"
"Enter your name here","Enter your name here"
"Message length could not be less than 5 characters","Message length could not be less than 5 characters"
"Message length could not be more than 255 characters","Message length could not be more than 255 characters"
"Name must be longer than 3 characters, less than 20 characters and contains only A-z letter and space symbol","Name must be longer than 3 characters, less than 20 characters and contains only A-z letter and space symbol"
